lat_bin,lon_bin,safety_score,total_businesses,lat,lon,bank_atm,restaurant_takeout,coffee_shop,convenience_store,24_7_pharmacy,gas_station,grocery_store,gym_late
16,50,72,22,43.66250000000004,-79.38750000000023,2,8,6,3,0,0,2,1
17,15,24,6,43.66750000000004,-79.56250000000007,1,2,0,1,0,2,0,0
35,63,6,2,43.757500000000086,-79.32250000000029,0,1,1,0,0,0,0,0
36,28,8,3,43.76250000000009,-79.49750000000013,0,1,1,1,0,0,0,0
28,24,9,3,43.72250000000007,-79.51750000000011,0,2,1,0,0,0,0,0
38,74,31,8,43.77250000000009,-79.26750000000034,1,3,0,1,0,2,1,0
49,83,5,2,43.82750000000012,-79.22250000000038,0,1,0,1,0,0,0,0
29,25,0,0,43.72750000000007,-79.51250000000012,0,0,0,0,0,0,0,0
42,44,6,2,43.7925000000001,-79.4175000000002,0,1,1,0,0,0,0,0
21,21,18,5,43.68750000000005,-79.5325000000001,0,2,0,1,0,2,0,0
19,60,5,2,43.677500000000045,-79.33750000000028,0,1,0,1,0,0,0,0
39,38,33,10,43.777500000000096,-79.44750000000018,1,5,2,1,0,0,1,0
42,80,5,2,43.7925000000001,-79.23750000000037,0,0,1,1,0,0,0,0
20,61,8,3,43.68250000000005,-79.33250000000028,0,1,1,1,0,0,0,0
12,57,6,2,43.64250000000003,-79.35250000000026,0,2,0,0,0,0,0,0
13,22,27,7,43.64750000000003,-79.5275000000001,1,2,1,1,0,2,0,0
31,70,17,5,43.737500000000075,-79.28750000000032,0,2,0,1,0,1,1,0
23,66,9,3,43.697500000000055,-79.3075000000003,0,2,1,0,0,0,0,0
24,31,8,3,43.70250000000006,-79.48250000000014,0,1,1,1,0,0,0,0
43,44,5,2,43.797500000000106,-79.4175000000002,0,1,0,1,0,0,0,0
16,27,24,6,43.66250000000004,-79.50250000000013,1,2,0,1,0,2,0,0
35,40,33,9,43.757500000000086,-79.43750000000018,2,2,1,2,0,0,1,1
34,81,25,6,43.75250000000008,-79.23250000000037,1,1,0,1,0,2,1,0
45,90,5,2,43.80750000000011,-79.18750000000041,0,0,1,1,0,0,0,0
5,17,3,1,43.60750000000001,-79.55250000000008,0,1,0,0,0,0,0,0
46,55,11,4,43.812500000000114,-79.36250000000025,0,2,1,1,0,0,0,0
37,86,28,7,43.76750000000009,-79.2075000000004,1,1,1,1,0,2,1,0
38,51,35,10,43.77250000000009,-79.38250000000023,2,4,1,2,0,0,0,1
17,28,5,2,43.66750000000004,-79.49750000000013,0,1,0,1,0,0,0,0
9,24,18,5,43.62750000000002,-79.51750000000011,0,2,0,1,0,2,0,0
28,37,8,3,43.72250000000007,-79.45250000000017,0,2,0,1,0,0,0,0
26,76,18,5,43.71250000000006,-79.25750000000035,0,1,1,1,0,2,0,0
27,41,11,4,43.717500000000065,-79.43250000000019,0,2,1,1,0,0,0,0
6,18,8,3,43.61250000000001,-79.54750000000008,0,1,1,1,0,0,0,0
18,72,3,1,43.67250000000004,-79.27750000000033,0,0,1,0,0,0,0,0
30,46,2,1,43.73250000000007,-79.40750000000021,0,0,0,1,0,0,0,0
42,57,2,1,43.7925000000001,-79.35250000000026,0,0,0,1,0,0,0,0
27,77,13,4,43.717500000000065,-79.25250000000035,0,1,1,1,0,1,0,0
20,38,11,4,43.68250000000005,-79.44750000000018,0,2,1,1,0,0,0,0
39,51,35,10,43.777500000000096,-79.38250000000023,2,4,1,2,0,0,0,1
30,82,20,5,43.73250000000007,-79.22750000000038,1,1,0,1,0,1,1,0
31,47,8,3,43.737500000000075,-79.40250000000022,0,1,1,1,0,0,0,0
32,12,5,2,43.74250000000008,-79.57750000000006,0,0,1,1,0,0,0,0
23,43,8,3,43.697500000000055,-79.4225000000002,0,1,1,1,0,0,0,0
24,8,2,1,43.70250000000006,-79.59750000000004,0,0,0,1,0,0,0,0
41,97,5,2,43.7875000000001,-79.15250000000044,0,0,1,1,0,0,0,0
34,58,2,1,43.75250000000008,-79.34750000000027,0,0,0,1,0,0,0,0
45,67,6,2,43.80750000000011,-79.30250000000031,0,1,1,0,0,0,0,0
24,44,43,12,43.70250000000006,-79.4175000000002,2,3,3,2,0,1,0,1
16,40,3,1,43.66250000000004,-79.43750000000018,0,0,1,0,0,0,0,0
28,14,5,2,43.72250000000007,-79.56750000000007,0,0,1,1,0,0,0,0
26,53,9,3,43.71250000000006,-79.37250000000024,0,2,1,0,0,0,0,0
46,68,11,4,43.812500000000114,-79.29750000000031,0,2,1,1,0,0,0,0
38,64,5,2,43.77250000000009,-79.3175000000003,0,1,0,1,0,0,0,0
49,73,0,0,43.82750000000012,-79.27250000000033,0,0,0,0,0,0,0,0
27,54,6,2,43.717500000000065,-79.36750000000025,0,2,0,0,0,0,0,0
19,50,38,10,43.677500000000045,-79.38750000000023,2,4,1,1,0,1,1,0
20,15,21,5,43.68250000000005,-79.56250000000007,1,1,0,1,0,2,0,0
11,46,6,2,43.637500000000024,-79.40750000000021,0,1,1,0,0,0,0,0
39,28,9,3,43.777500000000096,-79.49750000000013,0,2,1,0,0,0,0,0
30,59,8,3,43.73250000000007,-79.34250000000027,0,2,0,1,0,0,0,0
31,24,5,2,43.737500000000075,-79.51750000000011,0,0,1,1,0,0,0,0
23,20,22,6,43.697500000000055,-79.5375000000001,1,2,1,1,0,1,0,0
41,74,11,4,43.7875000000001,-79.26750000000034,0,2,1,1,0,0,0,0
20,51,28,8,43.68250000000005,-79.38250000000023,1,3,1,1,0,0,1,1
33,70,14,4,43.74750000000008,-79.28750000000032,0,1,0,1,0,1,1,0
12,47,3,1,43.64250000000003,-79.40250000000022,0,1,0,0,0,0,0,0
13,12,26,7,43.64750000000003,-79.57750000000006,1,3,0,1,0,1,1,0
32,25,3,1,43.74250000000008,-79.51250000000012,0,1,0,0,0,0,0,0
24,21,11,4,43.70250000000006,-79.5325000000001,0,2,1,1,0,0,0,0
16,17,10,3,43.66250000000004,-79.55250000000008,0,1,0,1,0,1,0,0
35,30,0,0,43.757500000000086,-79.48750000000014,0,0,0,0,0,0,0,0
22,60,3,1,43.69250000000005,-79.33750000000028,0,1,0,0,0,0,0,0
34,71,19,5,43.75250000000008,-79.28250000000033,1,1,1,1,0,1,0,0
37,76,18,5,43.76750000000009,-79.25750000000035,0,1,1,1,0,2,0,0
38,41,32,9,43.77250000000009,-79.43250000000019,1,4,1,1,0,1,1,0
15,57,9,3,43.657500000000034,-79.35250000000026,0,2,1,0,0,0,0,0
7,53,0,0,43.617500000000014,-79.37250000000024,0,0,0,0,0,0,0,0
26,66,3,1,43.71250000000006,-79.3075000000003,0,0,1,0,0,0,0,0
27,31,3,1,43.717500000000065,-79.48250000000014,0,0,1,0,0,0,0,0
18,62,9,3,43.67250000000004,-79.32750000000028,0,2,1,0,0,0,0,0
19,27,19,5,43.677500000000045,-79.50250000000013,0,1,0,1,0,2,1,0
30,36,9,3,43.73250000000007,-79.45750000000017,0,2,1,0,0,0,0,0
42,47,3,1,43.7925000000001,-79.40250000000022,0,1,0,0,0,0,0,0
29,77,14,4,43.72750000000007,-79.25250000000035,0,1,0,1,0,1,1,0
40,86,9,3,43.7825000000001,-79.2075000000004,0,2,1,0,0,0,0,0
19,63,8,3,43.677500000000045,-79.32250000000029,0,1,1,1,0,0,0,0
20,28,2,1,43.68250000000005,-79.49750000000013,0,0,0,1,0,0,0,0
39,41,31,9,43.777500000000096,-79.43250000000019,1,3,1,2,0,1,0,1
31,37,11,4,43.737500000000075,-79.45250000000017,0,2,1,1,0,0,0,0
4,20,0,0,43.602500000000006,-79.5375000000001,0,0,0,0,0,0,0,0
32,2,5,2,43.74250000000008,-79.62750000000001,0,1,0,1,0,0,0,0
23,33,2,1,43.697500000000055,-79.47250000000015,0,0,0,1,0,0,0,0
35,7,0,0,43.757500000000086,-79.60250000000003,0,0,0,0,0,0,0,0
33,83,22,6,43.74750000000008,-79.22250000000038,0,1,1,1,0,2,1,0
34,48,44,12,43.75250000000008,-79.39750000000022,2,4,3,1,0,1,1,0
25,79,16,5,43.70750000000006,-79.24250000000036,0,2,1,1,0,1,0,0
44,92,3,1,43.80250000000011,-79.17750000000042,0,1,0,0,0,0,0,0
45,57,5,2,43.80750000000011,-79.35250000000026,0,0,1,1,0,0,0,0
37,53,8,3,43.76750000000009,-79.37250000000024,0,1,1,1,0,0,0,0
16,30,0,0,43.66250000000004,-79.48750000000014,0,0,0,0,0,0,0,0
22,73,6,2,43.69250000000005,-79.27250000000033,0,2,0,0,0,0,0,0
28,4,5,2,43.72250000000007,-79.61750000000002,0,0,1,1,0,0,0,0
15,34,2,1,43.657500000000034,-79.46750000000016,0,0,0,1,0,0,0,0
26,43,2,1,43.71250000000006,-79.4225000000002,0,0,0,1,0,0,0,0
46,58,3,1,43.812500000000114,-79.34750000000027,0,0,1,0,0,0,0,0
18,39,8,3,43.67250000000004,-79.44250000000018,0,1,1,1,0,0,0,0
36,93,3,1,43.76250000000009,-79.17250000000043,0,0,1,0,0,0,0,0
48,67,0,0,43.82250000000012,-79.30250000000031,0,0,0,0,0,0,0,0
8,31,3,1,43.62250000000002,-79.48250000000014,0,1,0,0,0,0,0,0
27,44,38,10,43.717500000000065,-79.4175000000002,2,2,3,1,0,1,0,1
19,40,6,2,43.677500000000045,-79.43750000000018,0,2,0,0,0,0,0,0
11,36,3,1,43.637500000000024,-79.45750000000017,0,1,0,0,0,0,0,0
31,14,2,1,43.737500000000075,-79.56750000000007,0,0,0,1,0,0,0,0
23,10,25,7,43.697500000000055,-79.58750000000005,1,3,1,1,0,1,0,0
40,99,11,4,43.7825000000001,-79.14250000000045,0,2,1,1,0,0,0,0
41,64,8,3,43.7875000000001,-79.3175000000003,0,1,1,1,0,0,0,0
33,60,5,2,43.74750000000008,-79.33750000000028,0,0,1,1,0,0,0,0
12,37,8,3,43.64250000000003,-79.45250000000017,0,1,1,1,0,0,0,0
44,69,8,3,43.80250000000011,-79.29250000000032,0,1,1,1,0,0,0,0
24,11,2,1,43.70250000000006,-79.58250000000005,0,0,0,1,0,0,0,0
22,50,32,9,43.69250000000005,-79.38750000000023,2,4,2,1,0,0,0,0
14,46,3,1,43.65250000000003,-79.40750000000021,0,0,1,0,0,0,0,0
34,61,2,1,43.75250000000008,-79.33250000000028,0,0,0,1,0,0,0,0
45,70,8,3,43.80750000000011,-79.28750000000032,0,2,0,1,0,0,0,0
37,66,5,2,43.76750000000009,-79.3075000000003,0,1,0,1,0,0,0,0
38,31,0,0,43.77250000000009,-79.48250000000014,0,0,0,0,0,0,0,0
15,47,8,3,43.657500000000034,-79.40250000000022,0,1,1,1,0,0,0,0
26,56,6,2,43.71250000000006,-79.35750000000026,0,1,1,0,0,0,0,0
27,21,0,0,43.717500000000065,-79.5325000000001,0,0,0,0,0,0,0,0
18,52,3,1,43.67250000000004,-79.37750000000024,0,0,1,0,0,0,0,0
19,17,22,6,43.677500000000045,-79.55250000000008,1,3,0,1,0,1,0,0
11,13,27,7,43.637500000000024,-79.57250000000006,1,3,0,1,0,2,0,0
30,26,6,2,43.73250000000007,-79.50750000000012,0,2,0,0,0,0,0,0
29,67,3,1,43.72750000000007,-79.30250000000031,0,0,1,0,0,0,0,0
21,63,6,2,43.68750000000005,-79.32250000000029,0,2,0,0,0,0,0,0
41,41,3,1,43.7875000000001,-79.43250000000019,0,0,1,0,0,0,0,0
20,18,16,4,43.68250000000005,-79.54750000000008,1,1,0,1,0,1,0,0
11,49,59,17,43.637500000000024,-79.39250000000023,3,6,3,3,0,0,1,1
12,14,19,5,43.64250000000003,-79.56750000000007,1,2,0,1,0,1,0,0
44,46,5,2,43.80250000000011,-79.40750000000021,0,1,0,1,0,0,0,0
23,23,20,6,43.697500000000055,-79.52250000000011,0,3,0,1,0,1,1,0
41,77,3,1,43.7875000000001,-79.25250000000035,0,1,0,0,0,0,0,0
33,73,26,7,43.74750000000008,-79.27250000000033,1,2,1,1,0,1,1,0
34,38,34,10,43.75250000000008,-79.44750000000018,1,3,2,2,0,1,1,0
25,69,20,6,43.70750000000006,-79.29250000000032,0,2,1,1,0,1,1,0
44,82,5,2,43.80250000000011,-79.22750000000038,0,0,1,1,0,0,0,0
43,86,6,2,43.797500000000106,-79.2075000000004,0,2,0,0,0,0,0,0
22,63,6,2,43.69250000000005,-79.32250000000029,0,2,0,0,0,0,0,0
14,59,6,2,43.65250000000003,-79.34250000000027,0,2,0,0,0,0,0,0
15,24,19,5,43.657500000000034,-79.51750000000011,1,2,0,1,0,1,0,0
7,20,8,3,43.617500000000014,-79.5375000000001,0,1,1,1,0,0,0,0
26,33,8,3,43.71250000000006,-79.47250000000015,0,1,1,1,0,0,0,0
18,29,8,3,43.67250000000004,-79.49250000000013,0,1,1,1,0,0,0,0
30,3,6,2,43.73250000000007,-79.62250000000002,0,2,0,0,0,0,0,0
36,83,20,6,43.76250000000009,-79.22250000000038,0,2,1,1,0,1,1,0
28,79,24,7,43.72250000000007,-79.24250000000036,0,3,1,1,0,2,0,0
40,53,3,1,43.7825000000001,-79.37250000000024,0,1,0,0,0,0,0,0
19,30,2,1,43.677500000000045,-79.48750000000014,0,0,0,1,0,0,0,0
11,26,23,6,43.637500000000024,-79.50750000000012,1,1,1,1,0,1,1,0
31,4,5,2,43.737500000000075,-79.61750000000002,0,0,1,1,0,0,0,0
29,80,18,5,43.72750000000007,-79.23750000000037,0,2,0,1,0,2,0,0
41,54,9,3,43.7875000000001,-79.36750000000025,0,2,1,0,0,0,0,0
33,50,27,8,43.74750000000008,-79.38750000000023,1,4,1,1,0,0,1,0
34,15,11,4,43.75250000000008,-79.56250000000007,0,2,1,1,0,0,0,0
25,46,37,10,43.70750000000006,-79.40750000000021,2,5,1,1,0,1,0,0
44,59,5,2,43.80250000000011,-79.34250000000027,0,0,1,1,0,0,0,0
39,93,3,1,43.777500000000096,-79.17250000000043,0,0,1,0,0,0,0,0
37,20,6,2,43.76750000000009,-79.5375000000001,0,2,0,0,0,0,0,0
3,27,8,3,43.597500000000004,-79.50250000000013,0,1,1,1,0,0,0,0
22,40,3,1,43.69250000000005,-79.43750000000018,0,0,1,0,0,0,0,0
14,36,3,1,43.65250000000003,-79.45750000000017,0,1,0,0,0,0,0,0
34,51,40,12,43.75250000000008,-79.38250000000023,1,5,2,2,0,1,0,1
26,10,3,1,43.71250000000006,-79.58750000000005,0,1,0,0,0,0,0,0
37,56,3,1,43.76750000000009,-79.35750000000026,0,0,1,0,0,0,0,0
38,21,8,3,43.77250000000009,-79.5325000000001,0,2,0,1,0,0,0,0
43,99,11,4,43.797500000000106,-79.14250000000045,0,2,1,1,0,0,0,0
36,60,8,3,43.76250000000009,-79.33750000000028,0,2,0,1,0,0,0,0
15,37,2,1,43.657500000000034,-79.45250000000017,0,0,0,1,0,0,0,0
47,69,3,1,43.817500000000116,-79.29250000000032,0,0,1,0,0,0,0,0
26,46,31,9,43.71250000000006,-79.40750000000021,1,2,3,1,0,0,1,1
27,11,8,3,43.717500000000065,-79.58250000000005,0,1,1,1,0,0,0,0
18,42,11,4,43.67250000000004,-79.4275000000002,0,2,1,1,0,0,0,0
30,16,5,2,43.73250000000007,-79.55750000000008,0,1,0,1,0,0,0,0
48,70,5,2,43.82250000000012,-79.28750000000032,0,1,0,1,0,0,0,0
21,53,6,2,43.68750000000005,-79.37250000000024,0,2,0,0,0,0,0,0
40,66,8,3,43.7825000000001,-79.3075000000003,0,2,0,1,0,0,0,0
33,27,8,3,43.74750000000008,-79.50250000000013,0,2,0,1,0,0,0,0
25,23,5,2,43.70750000000006,-79.52250000000011,0,0,1,1,0,0,0,0
10,43,3,1,43.63250000000002,-79.4225000000002,0,1,0,0,0,0,0,0
22,17,14,4,43.69250000000005,-79.55250000000008,0,1,0,1,0,1,1,0
14,13,22,6,43.65250000000003,-79.57250000000006,1,3,0,1,0,1,0,0
33,63,8,3,43.74750000000008,-79.32250000000029,0,1,1,1,0,0,0,0
34,28,0,0,43.75250000000008,-79.49750000000013,0,0,0,0,0,0,0,0
25,59,5,2,43.70750000000006,-79.34250000000027,0,0,1,1,0,0,0,0
37,33,6,2,43.76750000000009,-79.47250000000015,0,2,0,0,0,0,0,0
32,67,5,2,43.74250000000008,-79.30250000000031,0,1,0,1,0,0,0,0
22,53,11,4,43.69250000000005,-79.37250000000024,0,2,1,1,0,0,0,0
35,72,17,5,43.757500000000086,-79.27750000000033,0,1,1,1,0,1,1,0
14,49,74,20,43.65250000000003,-79.39250000000023,2,8,4,2,1,0,2,1
15,14,27,7,43.657500000000034,-79.56750000000007,1,3,0,1,0,2,0,0
26,23,0,0,43.71250000000006,-79.52250000000011,0,0,0,0,0,0,0,0
18,19,24,6,43.67250000000004,-79.54250000000009,1,1,1,1,0,2,0,0
17,60,5,2,43.66750000000004,-79.33750000000028,0,1,0,1,0,0,0,0
9,56,6,2,43.62750000000002,-79.35750000000026,0,1,1,0,0,0,0,0
29,34,6,2,43.72750000000007,-79.46750000000016,0,2,0,0,0,0,0,0
47,82,6,2,43.817500000000116,-79.22750000000038,0,2,0,0,0,0,0,0
40,43,5,2,43.7825000000001,-79.4225000000002,0,0,1,1,0,0,0,0
11,16,25,7,43.637500000000024,-79.55750000000008,0,2,1,1,0,2,1,0
29,70,24,7,43.72750000000007,-79.28750000000032,0,3,1,1,0,2,0,0
21,66,8,3,43.68750000000005,-79.3075000000003,0,1,1,1,0,0,0,0
41,44,9,3,43.7875000000001,-79.4175000000002,0,2,1,0,0,0,0,0
33,40,42,12,43.74750000000008,-79.43750000000018,2,4,3,2,0,1,0,0
25,36,5,2,43.70750000000006,-79.45750000000017,0,0,1,1,0,0,0,0
44,49,6,2,43.80250000000011,-79.39250000000023,0,1,1,0,0,0,0,0
39,83,23,6,43.777500000000096,-79.22250000000038,1,1,1,1,0,1,1,0
31,79,22,6,43.737500000000075,-79.24250000000036,0,1,1,1,0,2,1,0
22,30,5,2,43.69250000000005,-79.48750000000014,0,1,0,1,0,0,0,0
14,26,19,6,43.65250000000003,-79.50750000000012,0,3,1,1,0,1,0,0
32,80,22,6,43.74250000000008,-79.23750000000037,0,1,1,1,0,2,1,0
